timestamp,sn,text
2019-03-28 10:54:50,Fadnavis_Fans,"RT @Fadnavis_Fans: @narendramodi Ek Muthi Namak now required against #Srascam of Mumbai

#EndSraScamCorruption
#EndBogusFraudBuilders
#EndE…"
2019-03-28 10:54:40,onlytg_gt,अगर धरती से 300 किलोमीटर दूर सेटेलाइट विस्फोट का अद्भुत कारनामा कांग्रेस के राज में होता तो उस परियोजना का नाम होता… https://t.co/BMIPBWRUyd
2019-03-28 10:54:30,BlackThezhl,RT @PriyaDutt_INC: Alone we can do so little; together we can do so much. Visited different areas in Santacruz (w) on 27th March and I’m ov…
2019-03-28 10:54:14,chitralekhamag,"'ખામોશ'... ભાજપના શત્રુ 6 એપ્રિલથી બનશે કોંગ્રેસના મિત્ર.
'કોઈ પણ સારા કામની શરૂઆત ચૈત્રી નવરાત્રીમાં કરાતી હોય છે'… https://t.co/jOOkXNb8yV"
2019-03-28 10:54:11,sikarsamachar,"घनश्याम तिवाङी का कांग्रेस में शामिल होने का फैसला आपको कैसा लगा?
#BJP 
#congress"
2019-03-28 10:54:05,AApsingekar,"RT @vanitajain21: #MissionShakti
First #Congress have problem with #ArmedForces, now they have problem with #Scientists.
Basically they hav…"
2019-03-28 10:54:03,RGRawat16,RT @PriyaDutt_INC: Alone we can do so little; together we can do so much. Visited different areas in Santacruz (w) on 27th March and I’m ov…
2019-03-28 10:53:01,Trendingnewis,"సభలో సందడి చేసిన కాంగ్రెస్ కార్యకర్తలు.😂😂🤣🤣👌👌
#Elections2019 
#congresscollapse 
@UttamTPCC 
@KTRTRS 
#Congress https://t.co/6KcHabfeka"
2019-03-28 10:52:39,ians_india,"Rebel #BJP MP #ShatrughanSinha , met #Congress President #RahulGandhi on March 28 and will formally join the party… https://t.co/foLMNmayi3"
2019-03-28 10:52:09,thatsTamil,பாஜகவில்  ஓரங்கப்பட்ட சத்ருஹன் சின்ஹா.. காங்கிரஸில் இணைகிறார்  https://t.co/x3P0RSgfkq #congress #bjp
